,0,1,2,3,4,5
4026,1641444300,3408.77,3459.97,3424.52,3449.78,79.5480656
4027,1641443400,3405.38,3446.19,3431.74,3424.17,151.09372959
4028,1641442500,3431.43,3467.55,3463.62,3431.7,100.78656002
4029,1641441600,3434.1,3462.27,3447.99,3460.88,86.80194624
4030,1641440700,3445.58,3480.06,3477.61,3446.6,100.4324913
4031,1641439800,3475.57,3490.95,3485.39,3476.05,90.88018212
4032,1641438900,3481.66,3500.66,3500.66,3487.21,67.71062109
4033,1641438000,3488.72,3510.12,3506.86,3499.39,80.38237476
4034,1641437100,3505.26,3522.57,3513.98,3505.26,41.14566459
4035,1641436200,3500.64,3520.34,3500.64,3515.03,83.45612563
4036,1641435300,3494.79,3512.86,3506.74,3502.37,42.418169
4037,1641434400,3509.23,3529.22,3520.02,3509.23,64.85649715
4038,1641433500,3499.99,3528.92,3528.75,3524.38,107.05180386
4039,1641432600,3513.96,3528.63,3522.2,3528.5,77.8173051
4040,1641431700,3520.81,3538.02,3530.35,3522.2,41.66730435
4041,1641430800,3520.79,3538.65,3538.65,3528.18,39.70190653
4042,1641429900,3529.31,3543.12,3540.13,3536.89,54.03069825
4043,1641429000,3526.78,3549.32,3526.78,3540.54,59.21970199
4044,1641428100,3517.29,3542.34,3535.78,3524.62,100.33586043
4045,1641427200,3500.0,3541.15,3538.0,3535.94,614.2252632
4046,1641427200,3500.0,3541.15,3538.0,3535.94,614.2252632
4047,1641426300,3536.76,3558.28,3550.67,3538.61,63.3263606
4048,1641425400,3535.9,3554.57,3545.35,3554.57,99.11161594
4049,1641424500,3531.36,3564.15,3534.08,3547.07,265.95375619
4050,1641423600,3504.85,3543.48,3534.34,3543.48,81.25221102
4051,1641422700,3508.33,3547.21,3536.73,3534.58,145.12679572
4052,1641421800,3413.27,3538.69,3470.18,3535.78,851.49393283
4053,1641420900,3442.56,3533.33,3520.29,3469.51,481.25618659
4054,1641420000,3510.67,3569.96,3553.68,3518.88,311.9010282
4055,1641419100,3554.91,3586.6,3559.03,3554.91,315.2748353
4056,1641418200,3550.0,3595.86,3594.84,3558.72,235.36668613
4057,1641417300,3588.77,3623.63,3622.26,3594.85,187.40922647
4058,1641416400,3586.84,3632.86,3592.98,3622.22,176.02012302
4059,1641415500,3582.84,3622.76,3612.94,3591.25,253.27464873
4060,1641414600,3612.06,3638.8,3629.13,3613.41,233.67981884
4061,1641413700,3623.74,3650.79,3628.35,3634.49,380.1307151
4062,1641412800,3593.76,3662.41,3646.7,3630.47,387.63498209
4063,1641411900,3640.02,3695.91,3689.62,3653.21,932.40150475
4064,1641411000,3689.91,3726.97,3720.61,3689.91,173.24373532
4065,1641410100,3700.49,3729.77,3708.63,3722.04,130.64555151
4066,1641409200,3708.95,3759.48,3745.94,3709.3,134.83269151
4067,1641408300,3746.46,3759.09,3754.08,3746.46,59.77991533
4068,1641407400,3742.7,3769.99,3742.7,3753.87,78.8240408
4069,1641406500,3719.95,3753.37,3738.15,3747.09,174.25330442
4070,1641405600,3725.14,3771.63,3768.81,3739.16,169.34293809
4071,1641404700,3768.81,3789.81,3788.73,3768.81,62.2349344
4072,1641403800,3782.48,3798.11,3798.11,3787.73,43.47622713
4073,1641402900,3792.64,3800.35,3799.72,3799.26,28.15072973
4074,1641402000,3789.96,3804.19,3789.96,3799.71,42.67338727
4075,1641401100,3791.17,3796.32,3793.94,3793.3,55.50612714
4076,1641400200,3794.35,3819.08,3818.06,3794.63,98.15863279
4077,1641399300,3806.89,3820.9,3809.8,3819.6,52.40812682
4078,1641398400,3799.9,3823.85,3821.95,3810.2,17.59599205
4079,1641397500,3805.51,3823.13,3814.73,3821.96,59.31442189
4080,1641396600,3807.41,3820.0,3820.0,3815.31,50.06865926
4081,1641395700,3808.45,3823.05,3813.41,3821.1,54.61864896
4082,1641394800,3810.67,3826.41,3822.12,3812.14,104.21608317
4083,1641393900,3789.23,3824.05,3804.18,3821.27,92.83258688
4084,1641393000,3794.17,3833.22,3813.61,3803.45,76.02407065
4085,1641392100,3802.72,3815.08,3815.08,3811.3,35.47609393
4086,1641391200,3809.99,3819.73,3814.43,3814.9,35.16540692
4087,1641390300,3799.4,3815.89,3807.58,3813.68,71.7242934
4088,1641389400,3798.85,3808.28,3804.65,3802.61,16.88380625
4089,1641388500,3786.95,3808.15,3787.72,3806.25,84.96264348
4090,1641387600,3780.74,3794.45,3788.93,3788.73,38.64661669
4091,1641386700,3766.5,3790.86,3771.97,3789.61,100.14212747
4092,1641385800,3763.17,3782.34,3779.69,3774.32,62.90499075
4093,1641384900,3770.0,3789.56,3789.56,3783.76,63.83224777
4094,1641384000,3781.16,3795.53,3794.89,3787.97,46.42367004
4095,1641383100,3781.66,3794.18,3791.4,3792.88,42.11529433
4096,1641382200,3783.74,3803.92,3803.56,3789.72,45.01338632
4097,1641381300,3801.78,3814.5,3812.93,3804.26,23.98812118
4098,1641380400,3810.93,3825.24,3825.24,3812.89,17.0995894
4099,1641379500,3822.92,3827.66,3824.58,3825.38,23.1098166
4100,1641378600,3823.55,3834.71,3834.39,3826.21,40.79007031
4101,1641377700,3829.75,3837.1,3836.91,3833.73,8.1649668
4102,1641376800,3837.91,3847.52,3839.07,3838.88,25.31672238
4103,1641375900,3831.75,3839.3,3839.3,3838.2,9.52838673
4104,1641375000,3829.27,3841.73,3832.1,3840.56,60.26644548
4105,1641374100,3820.64,3833.81,3822.72,3833.46,68.38292454
4106,1641373200,3817.97,3825.2,3819.64,3819.57,30.13411891
4107,1641372300,3819.08,3825.39,3819.89,3820.81,60.55356125
4108,1641371400,3806.43,3819.43,3810.73,3819.43,24.81002557
4109,1641370500,3802.77,3810.84,3807.62,3810.17,26.65390077
4110,1641369600,3805.05,3817.74,3817.74,3807.6,3.77648477
4111,1641368700,3812.69,3817.48,3812.69,3816.0,2.01287363
4112,1641367800,3810.63,3815.2,3815.2,3813.31,15.16957361
4113,1641366900,3814.7,3821.6,3820.5,3817.29,16.66272546
4114,1641366000,3813.52,3821.93,3819.68,3821.93,15.94799592
4115,1641365100,3814.64,3821.81,3814.87,3819.69,7.58913877
4116,1641364200,3813.37,3819.0,3815.01,3814.14,28.1082087
4117,1641363300,3812.02,3819.51,3817.37,3812.86,13.94193498
4118,1641362400,3801.62,3815.65,3803.11,3815.65,27.70024885
4119,1641361500,3798.29,3806.72,3799.84,3804.13,12.63946546
4120,1641360600,3798.37,3806.27,3806.27,3799.22,22.26685825
4121,1641359700,3798.01,3807.0,3798.01,3805.88,15.05770955
4122,1641358800,3800.0,3808.92,3808.21,3800.0,31.49379112
4123,1641357900,3805.99,3815.18,3806.09,3807.99,13.26227336
4124,1641357000,3805.65,3815.86,3814.42,3805.65,21.11043875
4125,1641356100,3811.24,3816.8,3812.27,3815.37,34.00373935
4126,1641355200,3802.91,3813.25,3809.47,3813.25,14.19995751
4127,1641354300,3808.12,3815.54,3811.69,3810.65,19.33942572
4128,1641353400,3809.38,3814.74,3813.79,3811.69,14.12454441
4129,1641352500,3813.85,3827.17,3817.45,3813.85,85.85497005
4130,1641351600,3803.58,3814.96,3803.58,3814.96,29.3664593
4131,1641350700,3801.91,3807.53,3806.75,3802.7,15.41674843
4132,1641349800,3798.74,3806.75,3799.81,3806.75,17.9606292
4133,1641348900,3796.27,3808.85,3797.83,3798.58,31.61111202
4134,1641348000,3793.36,3800.57,3793.36,3799.17,36.62801596
4135,1641347100,3792.86,3802.6,3802.54,3793.65,24.05991116
4136,1641346200,3794.51,3805.9,3804.77,3802.58,23.91173544
4137,1641345300,3800.5,3808.7,3804.0,3804.54,14.03588827
4138,1641344400,3802.72,3809.37,3806.12,3807.9,26.46268236
4139,1641343500,3800.72,3812.34,3803.99,3807.98,37.09366474
4140,1641342600,3792.03,3805.93,3792.03,3802.13,37.21893308
4141,1641341700,3787.03,3797.52,3790.67,3791.8,38.35491171
4142,1641340800,3766.98,3792.77,3783.66,3789.25,52.86724247
4143,1641339900,3784.39,3801.35,3787.92,3785.48,56.44229564
4144,1641339000,3783.26,3808.71,3808.71,3788.43,46.85157654
4145,1641338100,3794.95,3812.41,3800.19,3809.18,51.54010982
4146,1641337200,3800.0,3814.68,3812.2,3800.81,30.97811633
4147,1641336300,3806.13,3818.66,3818.66,3814.59,6.32620889
4148,1641335400,3815.0,3819.76,3815.06,3817.49,7.68690708
4149,1641334500,3808.99,3822.2,3817.55,3812.93,13.65237515
4150,1641333600,3818.05,3824.37,3819.86,3818.58,21.46503358
4151,1641332700,3818.82,3831.69,3825.48,3819.6,28.33623755
4152,1641331800,3816.53,3831.01,3818.45,3827.1,18.22026114
4153,1641330900,3807.46,3828.05,3821.66,3817.49,159.08626599
